file_extension,description,offset,ascii,hex
MLV,Magic Lantern Video file,0,MLVI,4D 4C 56 49
,Windows UpdateBinary Delta Compression,0,DCM PA30,44 43 4D 01 50 41 33 30
7z,7-Zip File Format,0,7z¼¯',37 7A BC AF 27 1C
gz,GZIP,0,..,1F 8B
tar.gz,GZIP,0,..,1F 8B
lz4,"LZ4 Frame Format, LZ4 block format does not offer any magic bytes.",0,".""M.",04 22 4D 18
cab,Microsoft Cabinet file,0,MSCF,4D 53 43 46
flif,Free Lossless Image Format,0,FLIF,46 4C 49 46
mkv,"Matroska media container, includingWebM",0,.Eß£,1A 45 DF A3
mka,"Matroska media container, includingWebM",0,.Eß£,1A 45 DF A3
mks,"Matroska media container, includingWebM",0,.Eß£,1A 45 DF A3
mk3d,"Matroska media container, includingWebM",0,.Eß£,1A 45 DF A3
webm,"Matroska media container, includingWebM",0,.Eß£,1A 45 DF A3
stg,"""SEAN : Session Analysis"" Training file. Also used in compatible software ""Rpw :Rowperfect for Windows"" and ""RP3W : ROWPERFECT3 for Windows"".",0,MIL,4D 49 4C 20
"['djvu', 'djv']",DjVu document. The following byte is either55 (U) for single-page or4D (M) for multi-page documents.,0,AT&TFORM....DJV,41 54 26 54 46 4F 52 4D nn nn nn nn 44 4A 56
djvu,DjVu document. The following byte is either55 (U) for single-page or4D (M) for multi-page documents.,0,AT&TFORM....DJV,41 54 26 54 46 4F 52 4D nn nn nn nn 44 4A 56
djv,DjVu document. The following byte is either55 (U) for single-page or4D (M) for multi-page documents.,0,AT&TFORM....DJV,41 54 26 54 46 4F 52 4D nn nn nn nn 44 4A 56
der,DER encoded X.509 certificate,0,0.,30 82
dcm,DICOM Medical File Format,0x80,DICM,44 49 43 4D
woff,WOFF File Format 1.0,0,wOFF,77 4F 46 46
woff2,WOFF File Format 2.0,0,wOF2,77 4F 46 32
XML,eXtensible Markup Language when using theASCII character encoding,0,<?xml,3c 3f 78 6d 6c 20
wasm,WebAssembly binary format,0,\0asm,6d 73 61 00
lep,Lepton compressed JPEG image,0,,cf 84 01
swf,flash .swf,0,CWS,43 57 53
swf,flash .swf,0,EWS,46 57 53
deb,linux deb file,0,!<arch>.,21 3C 61 72 63 68 3E
webp,Google WebP image file,0,RIFF....,52 49 46 46 nn nn nn nn
,,,WEBP,57 45 42 50
,U-Boot / uImage.Das_U-Boot Universal Boot Loader.,0,'..V,27 05 19 56
